season_year,week,season_type,gamekey,away_team,home_team,stadium,stadium_type,turf_type,schedule_date,start_time,time_zone,game_weather,temp,humidity,windspeed,outdoor_weather,wind_chill,wind_direction,referee,umpire,head_linesman,line_judge,side_judge,back_judge,field_judge,replay_official,attendance,game_length,visitor_score_q1,visitor_score_q2,visitor_score_q3,visitor_score_q4,visitor_score_ot,home_score_q1,home_score_q2,home_score_q3,home_score_q4,home_score_ot,last_updated,away_qb_name,home_qb_name,away_qb_pass_attempts,home_qb_pass_attempts,away_qb_completions,home_qb_completions,away_qb_pass_yards,home_qb_pass_yards,away_qb_sacks,home_qb_sacks,away_qb_sack_yardage,home_qb_sack_yardage,away_qb_pass_tds,home_qb_pass_tds,away_qb_long_pass,home_qb_long_pass,away_qb_interceptions,home_qb_interceptions,away_qb_rating,home_qb_rating,away_qb_rush_attempts,home_qb_rush_attempts,away_qb_rush_yards,home_qb_rush_yards,away_qb_yards_per_rush,home_qb_yards_per_rush,away_qb_rush_tds,home_qb_rush_tds,away_qb_long_rush,home_qb_long_rush,away_third_downs_converted,home_third_downs_converted,away_third_downs,home_third_downs,away_third_down_convert_percent,home_third_down_convert_percent,away_fourth_downs_converted,home_fourth_downs_converted,away_fourth_downs,home_fourth_downs,away_fourth_down_convert_percent,home_fourth_down_convert_percent,away_tackles_for_a_loss,home_tackles_for_a_loss,away_tackles_for_a_loss_yardage,home_tackles_for_a_loss_yardage,away_times_thrown_yards_lost,home_times_thrown_yards_lost,away_yards_lost_attempting_to_pass,home_yards_lost_attempting_to_pass,away_pass_attempts,home_pass_attempts,away_completions,home_completions,away_had_intercepted,home_had_intercepted,away_n_kickoffs,home_n_kickoffs,away_n_kickoffs_in_endzone,home_n_kickoffs_in_endzone,away_n_kickoffs_touchbacks,home_n_kickoffs_touchbacks,away_n_punts,home_n_punts,away_avg_punt,home_avg_punt,away_fgs_had_blocked,home_fgs_had_blocked,away_pats_had_blocked,home_pats_had_blocked,away_n_punt_returns,home_n_punt_returns,away_yards_punt_returns,home_yards_punt_returns,away_n_kickoff_returns,home_n_kickoff_returns,away_yards_kickoff_returns,home_yards_kickoff_returns,away_n_interception_returns,home_n_interception_returns,away_yards_interception_returns,home_yards_interception_returns,away_n_penalties,home_n_penalties,away_penalty_yards,home_penalty_yards,away_n_fumbles,home_n_fumbles,away_n_fumbles_lost,home_n_fumbles_lost,away_extra_points_made,home_extra_points_made,away_extra_points_attempts,home_extra_points_attempts,away_kicking_made,home_kicking_made,away_kicking_attempts,home_kicking_attempts,away_field_goals_made,home_field_goals_made,away_field_goals_attempts,home_field_goals_attempts,away_red_zone_converts,home_red_zone_converts,away_red_zone_attempts,home_red_zone_attempts,away_red_zone_convert_percentage,home_red_zone_convert_percentage,away_goal_to_go_converts,home_goal_to_go_converts,away_goal_to_go_attempts,home_goal_to_go_attempts,away_goal_to_go_convert_percentage,home_goal_to_go_convert_percentage,away_time_of_possession,home_time_of_possession,away_total_first_downs,home_total_first_downs,away_first_downs_by_rushing,home_first_downs_by_rushing,away_first_downs_by_passing,home_first_downs_by_passing,away_first_downs_by_penalty,home_first_downs_by_penalty,away_total_net_yards,home_total_net_yards,away_total_offensive_plays_inc_times_thrown_passing,home_total_offensive_plays_inc_times_thrown_passing,away_avg_gain_per_offensive_play,home_avg_gain_per_offensive_play,away_net_yards_rushing,home_net_yards_rushing,away_total_rushing_plays,home_total_rushing_plays,away_avg_gain_per_rushing_play,home_avg_gain_per_rushing_play,away_net_yards_passing,home_net_yards_passing,away_gross_yards_passing,home_gross_yards_passing,away_avg_gain_per_pass_play_incn_thrown_passing,home_avg_gain_per_pass_play_incn_thrown_passing,away_had_blocked,home_had_blocked,away_net_punting_avg,home_net_punting_avg,away_total_return_yardage_not_including_kickoffs,home_total_return_yardage_not_including_kickoffs,away_touchdowns,home_touchdowns,away_tds_by_rushing,home_tds_by_rushing,away_tds_by_passing,home_tds_by_passing,away_safeties,home_safeties,away_final_score,home_final_score,away_tds_by_fumbles,home_tds_by_fumbles,away_tds_by_interceptions,home_tds_by_interceptions,away_tds_by_punt_returns,home_tds_by_punt_returns,away_tds_by_kickoff_returns,home_tds_by_kickoff_returns,away_tds_by_other_blocked_kicks_etc,home_tds_by_other_blocked_kicks_etc,away_2pt_conv_rush_made,away_2pt_conv_rush_att,away_2pt_conv_pass_made,away_2pt_conv_pass_att,home_2pt_conv_rush_made,home_2pt_conv_rush_att,home_2pt_conv_pass_made,home_2pt_conv_pass_att
2015,14,Regular,56695,MIN,ARI,University of Phoenix,Dome,Grass,12/10/2015,18:25,MST,,68,26,1,,,West,"Steratore, Gene (114)","Anderson, Barry (20)","Walker, Ed (123)","Arthur, Gary (108)","Waggoner, Bob (25)","Paganelli, Carl (124)","Weatherford, Mike (116)","Lewis, Darryll ()",64784,2:59,7,3,0,10,0,10,0,7,6,0,12/11/2015 5:30:28 AM,T.Bridgewater,C.Palmer,36,35,25,25,335,310,3,2,18,14,1,2,41,65,0,0,108.0,117.6,1,3,3,3,3.0,1.0,0,0,3,5,6,6,11,13,55,46,0,1,0,1,0,100,6,2,17,9,3,2,18,14,36,35,25,25,0,0,5,6,5,6,4,3,2,3,45.5,44.3,0,0,0,0,1,1,0,4,3,1,93,23,0,0,0,0,3,4,25,30,3,0,3,0,2,2,2,2,2,2,2,2,2,3,2,3,2,0,3,2,67,0,1,0,1,2,100,0,28:01,31:59,23,22,4,6,17,16,2,0,389,393,63,66,6.2,6.0,72,97,24,29,3.0,3.3,317,296,335,310,8.1,8.0,0,0,43.5,37.7,0,4,2,2,1,0,1,2,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56696,ATL,CAR,Bank of America Stadium,Outdoors,Natural Grass,12/13/2015,13:03,EST,Sunny,63,93,6,,,S,"Corrente, Tony (99)","Ferrell, Dan (64)","Hayward, George (54)","Longson, Bart (2)","Washington, Keith (7)","Wilson, Gregory (119)","Horton, Buddy (82)","Slavin, Howard ()",74420,3:10,0,0,0,0,0,21,7,10,0,0,12/13/2015 4:52:43 PM,M.Ryan,C.Newton,34,21,22,15,224,265,3,2,42,19,0,3,46,74,1,0,71.2,153.3,1,3,-1,4,-1.0,1.3,0,0,-1,3,4,6,14,12,29,50,1,0,4,1,25,0,2,1,5,3,5,2,59,19,41,27,25,19,2,0,1,7,1,6,1,5,5,4,45.6,49.0,0,0,0,0,3,0,10,0,2,0,62,0,0,2,0,10,6,6,54,60,4,0,2,0,0,5,0,5,0,5,0,5,0,1,0,1,0,3,1,4,0,75,0,2,1,3,0,67,28:30,31:30,15,20,3,7,11,12,1,1,230,424,62,61,3.7,7.0,54,142,16,32,3.4,4.4,176,282,235,301,3.8,9.7,0,0,37.6,46.5,10,10,0,5,0,2,0,3,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56697,WAS,CHI,Soldier Field,Outdoors,Grass,12/13/2015,12:02,CST,"Cloudy, chance of rain increasing up to 75% during game.",62,80,12,,,SSE,"Torbert, Ronald (62)","Paganelli, Carl (124)","Howey, Jim (37)","Steinkerchner, Mark (84)","Edwards, Scott (3)","Yette, Greg  (38)","Santi, Aaron (50)","Spyksma, Bill ()",61026,3:01,7,7,7,3,0,0,7,14,0,0,12/13/2015 4:13:07 PM,K.Cousins,J.Cutler,31,31,24,19,300,315,3,3,25,25,1,2,32,50,1,0,104.2,117.0,4,1,13,5,3.3,5.0,1,0,9,5,7,5,12,11,58,45,0,0,0,0,0,0,4,2,8,2,3,3,25,25,31,31,24,19,1,0,5,4,4,4,3,2,4,5,43.0,45.6,0,0,0,0,2,1,7,16,2,2,44,38,0,1,0,9,8,7,63,79,1,1,0,1,3,3,3,3,3,3,3,3,1,0,1,1,3,2,3,2,100,100,3,1,3,1,100,100,34:22,25:38,24,20,10,4,13,14,1,2,374,377,67,56,5.6,6.7,99,87,33,22,3.0,4.0,275,290,300,315,8.1,8.5,0,0,34.0,40.2,7,25,3,3,2,1,1,2,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56698,PIT,CIN,Paul Brown Stadium,Outdoor,UBU Sports Speed S5-M,12/13/2015,13:02,EST,Cloudy,63,79,8,,,South,"Parry, John (132)","Pellis, Mark (131)","Bradley, Greg (98)","Perlman, Mark (9)","Gautreaux, Greg (80)","Paganelli, Dino (105)","Walker, Jabir (26)","McGrath, Bob",65564,3:10,7,9,7,10,0,0,7,3,10,0,12/13/2015 4:19:50 PM,B.Roethlisberger,A.Dalton,39,5,30,3,282,59,2,0,12,0,0,0,31,24,1,1,85.6,61.7,1,,6,,6.0,,0,,6,,8,3,14,8,57,38,0,0,0,0,0,0,1,1,1,2,2,3,12,18,39,37,30,25,1,3,8,5,6,3,5,3,2,2,49.0,48.0,0,0,0,0,2,0,3,0,1,3,17,68,3,1,53,0,5,4,82,27,0,0,0,0,3,2,3,2,3,2,3,2,4,2,4,3,2,1,3,3,67,33,2,1,2,3,100,33,35:47,24:13,22,22,7,5,13,14,2,3,354,385,69,56,5.1,6.9,84,64,28,16,3.0,4.0,270,321,282,339,6.6,8.0,0,0,49.0,46.5,56,0,3,2,2,0,0,2,0,0,33,20,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56699,SF,CLE,FirstEnergy Stadium,Outdoor,Grass,12/13/2015,13:02,EDT,Overcast,63,75,11,Overcast,n/a,South,"Hussey, John (35)","Michalek, Tony (115)","Bowers, Derick (74)","Marinucci, Ron (107)","Coleman, James (95)","Ferguson, Keith (61)","Buchanan, Jimmy (86)","Wimmer, Mike ()",63916,2:59,0,3,0,7,0,7,3,7,7,0,12/13/2015 4:09:28 PM,B.Gabbert,J.Manziel,28,31,18,21,194,270,9,2,44,19,1,1,24,34,0,1,96.4,92.1,3,7,19,15,6.3,2.1,0,0,11,8,2,6,13,12,15,50,1,0,3,0,33,0,1,2,1,9,9,2,44,19,28,31,18,21,0,1,3,5,2,4,2,3,7,3,40.9,39.7,0,1,0,0,1,3,36,11,2,0,56,0,1,0,25,0,5,8,40,71,1,3,0,1,1,3,1,3,1,3,1,3,1,1,1,2,1,3,1,4,100,75,1,3,1,4,100,75,22:21,37:39,15,28,4,11,8,14,3,3,221,481,54,74,4.1,6.5,71,230,17,41,4.2,5.6,150,251,194,270,4.1,7.6,0,0,36.4,27.7,61,11,1,3,0,2,1,1,0,0,10,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56700,NE,HOU,NRG Stadium,Retractable Roof,Artificial,12/13/2015,19:31,CST,Cloudy,54,90,5,Cloudy,52,S,"Triplette, Jeff (42)","Smith, Shawn (14)","Veteri, Tony (36)","Bergman, Jeff (32)","Kemp, Alex (55)","Freeman, Steve (133)","Prioleau, Dyrol (109)","Weidner, Paul ()",71908,3:00,7,10,3,7,0,3,3,0,0,0,12/13/2015 11:34:11 PM,T.Brady,B.Hoyer,30,22,22,11,226,155,3,5,29,54,2,0,45,49,0,0,116.8,73.1,4,1,10,-1,2.5,-1.0,0,0,13,-1,7,3,16,14,44,21,0,0,0,2,0,0,4,3,5,4,3,6,29,57,30,24,22,12,0,0,6,3,6,3,5,0,6,7,44.0,45.3,0,0,0,0,4,3,46,22,3,1,67,19,0,0,0,0,6,4,46,36,1,2,1,1,3,0,3,0,3,0,3,0,2,2,2,2,3,0,3,1,100,0,3,0,3,0,100,0,35:14,24:46,18,7,7,2,11,4,0,1,313,189,64,52,4.9,3.6,116,87,31,22,3.7,4.0,197,102,226,159,6.0,3.4,0,0,40.3,38.7,46,22,3,0,1,0,2,0,0,0,27,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56701,IND,JAC,EverBank Field,Open,Grass,12/13/2015,13:02,EST,,79,66,5,0% Chance of Rain,,E,"Cheffers, Carl (51)","Wash, Undrey (96)","Payne, Kent (79)","Podraza, Tim (47)","Novak, Scott (1)","Miles, Terrence (111)","Freeman, Brad (88)","Stewart, Charles ()",62372,3:16,3,10,3,0,0,3,6,21,21,0,12/13/2015 4:22:15 PM,M.Hasselbeck,B.Bortles,35,30,18,16,252,250,3,3,33,24,0,3,57,80,0,0,74.9,114.6,1,4,10,17,10.0,4.3,0,1,10,15,4,2,16,9,25,22,1,1,2,1,50,100,1,1,1,1,3,3,33,24,43,30,20,16,1,0,5,9,5,9,5,9,7,5,47.9,45.6,0,0,0,0,3,2,7,73,0,0,0,0,0,1,0,48,8,5,85,40,1,3,1,2,1,6,1,7,1,6,1,7,3,1,3,1,0,4,3,4,0,100,0,4,0,4,0,100,30:48,29:12,17,24,7,9,9,12,1,3,322,380,69,62,4.7,6.1,95,154,23,29,4.1,5.3,227,226,260,250,4.9,6.8,0,0,34.6,44.2,7,121,1,7,0,2,0,3,0,0,16,51,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56702,SD,KC,Arrowhead Stadium,Outdoor,Natural grass,12/13/2015,12:03,CST,Cloudy with rain,61,97,14,,59,ESE,"Morelli, Peter (135)","Fowler, Ruben (71)","Camp, Ed (134)","Thomas, Sarah (53)","Vernatchi, Rob (75)","Shaw, Dale (104)","Patterson, Rick (15)","Moore, Tommy ()",72314,2:57,0,0,3,0,0,0,10,0,0,0,12/13/2015 4:10:33 PM,P.Rivers,A.Smith,43,23,24,15,263,191,5,2,27,12,0,1,41,44,1,1,64.4,87.4,1,5,4,40,4.0,8.0,0,0,4,18,6,6,18,11,33,55,3,0,3,0,100,0,3,4,4,13,5,2,27,12,43,23,24,15,1,1,2,3,2,2,1,1,5,4,46.8,38.5,0,0,0,0,0,4,0,36,1,1,34,24,1,1,0,5,7,8,48,53,0,2,0,1,0,1,0,1,0,1,0,1,1,1,2,2,0,0,2,0,0,0,0,0,1,0,0,0,31:08,28:52,15,18,2,9,12,7,1,2,280,329,66,50,4.2,6.6,44,150,18,25,2.4,6.0,236,179,263,191,4.9,7.2,0,0,39.6,33.5,0,41,0,1,0,0,0,1,0,0,3,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,14,Regular,56703,TEN,NYJ,MetLife Stadium,Outdoor,FieldTurf,12/13/2015,13:02,EST,,67,55,5,,,,"Boger, Jerome (23)","Hall, Richard (49)","McGrath, John (5)","Seeman, Jeff (45)","Coleman IV, Walt (87)","Steratore, Tony (112)","Meslow, David (118)","Madsen, Carl ()",78160,2:59,0,0,8,0,0,10,17,0,3,0,12/13/2015 5:44:34 PM,M.Mariota,R.Fitzpatrick,39,36,21,21,274,263,5,1,47,7,0,3,51,69,1,0,65.5,108.9,3,3,3,23,1.0,7.7,0,0,3,19,3,7,14,15,21,47,1,1,3,1,33,100,2,3,4,6,5,1,47,7,40,36,22,21,1,0,2,7,2,7,2,4,6,3,48.2,46.0,0,0,0,0,1,4,2,32,3,0,47,0,0,1,0,9,3,3,20,20,1,0,0,0,1,3,1,3,0,3,0,3,0,3,0,4,0,2,1,3,0,67,0,0,0,0,0,0,24:04,35:56,15,24,0,11,14,13,1,0,292,439,58,71,5.0,6.2,24,183,13,34,1.8,5.4,268,256,315,263,6.0,6.9,0,0,42.8,38.7,2,41,1,3,0,0,1,3,0,0,8,30,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
2015,14,Regular,56704,BUF,PHI,Lincoln Financial Field,Outdoor,Grass,12/13/2015,13:01,EST,Partly Cloudy,66,68,3,Partly Cloudy,,SE,"Hochuli, Ed (85)","Martin, Clay (19)","Turner, Patrick (13)","Baynes, Rusty (59)","Meyer, Greg (78)","Helverson, Scott (93)","Hill, Adrian (29)","Sifferman, Tom ()",69596,3:21,7,3,10,0,0,7,10,3,3,0,12/13/2015 9:59:28 PM,T.Taylor,S.Bradford,36,38,19,23,268,247,1,1,8,15,1,1,47,53,1,1,74.8,77.4,8,3,53,3,6.6,1.0,0,0,14,5,6,9,16,18,38,50,0,0,0,0,0,0,2,3,11,5,1,1,8,15,36,38,19,23,1,1,5,6,5,5,2,5,7,7,45.0,50.4,0,0,0,0,5,4,50,47,1,3,5,56,1,1,0,7,15,5,101,55,2,0,1,0,2,2,2,2,2,2,2,2,2,3,2,3,1,1,2,2,50,50,0,1,0,1,0,100,35:02,24:58,18,20,7,8,11,11,0,1,412,348,69,73,6.0,4.8,152,116,32,34,4.8,3.4,260,232,268,247,7.0,5.9,0,0,35.4,43.3,50,54,2,2,1,1,1,1,0,0,20,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
