team,home_stadium,time_zone,conference,division
ARI,University of Phoenix,MT,NFC,West
ATL,Georgia Dome,EST,NFC,South
BAL,M&T Bank Stadium,EST,AFC,North
BUF,Ralph Wilson Stadium,EST,AFC,East
CAR,Bank of America Stadium,EST,NFC,South
CHI,Soldier Field,CST,NFC,North
CIN,Paul Brown Stadium,EST,AFC,North
CLE,FirstEnergy Stadium,EST,AFC,North
DAL,AT&T Stadium,CST,NFC,East
DEN,Sports Authority Field at Mile High,MT,AFC,West
DET,Ford Field,EST,NFC,North
GB,Lambeau Field,CST,NFC,North
HOU,NRG Stadium,CST,AFC,South
IND,Lucas Oil Stadium,EST,AFC,South
JAC,EverBank Field,EST,AFC,South
KC,Arrowhead Stadium,CST,AFC,West
LA,Los Angeles Memorial Coliseum,PST,NFC,West
MIA,Sun Life Stadium,EST,AFC,East
MIN,U.S. Bank Stadium,CST,NFC,North
NE,Gillette Stadium,EST,AFC,East
NO,Mercedes-Benz Superdome,CST,NFC,South
NYG,MetLife Stadium,EST,NFC,East
NYJ,MetLife Stadium,EST,AFC,East
OAK,O.co Coliseum,PST,AFC,West
PHI,Lincoln Financial Field,EST,NFC,East
PIT,Heinz Field,EST,AFC,North
SD,Qualcomm Stadium,PST,AFC,West
SEA,CenturyLink Field,PST,NFC,West
SF,Levi's Stadium,PST,NFC,West
STL,Edward Jones Dome,CST,NFC,West
TB,Raymond James Stadium,EST,NFC,South
TEN,Nissan Stadium,CST,AFC,South
WAS,FedExField,EST,NFC,East
